N_CHEQUE;BENEFICIARIO;CUIT;FECHA_EMISION;FECHA_VENCIMIENTO;IMPORTE;ESTADO;MATCH_PLANILLA;OP_NUMERO;MODO_IMPUTACION;A_VENCER;MES_VENC;IMP_OSPEVIC;IMP_OSPIF;IMP_OSPLYFC;IMP_OSSURRBAC;IMP_OSPM;IMP_SIN_ASIGNACION
00000355;GPAL BIOQUIMICA CLINICA SAS;30716142015;23/01/2026;30/04/2026;547756,45;Pagado;SI;;ESTRICTO;NO;2026-04;76075,56706835715;241205,63250181495;148865,14133130494;81610,10909852292;0,0;0,0
00000318;ASOCIACION PRESTADORES DE HEMODIALISIS Y;30644610256;23/01/2026;31/05/2026;6821762,0;Emitido;SI;;ESTRICTO;SI;2026-05;5254527,932466985;1567234,0675330155;0,0;0,0;0,0;0,0
00000311;DE LA VILLA SERVICIOS ASISTENCIALES S.A;30623442566;23/01/2026;30/04/2026;731830,71;Pagado;SI;;ESTRICTO;NO;2026-04;21270,04083841588;597864,1573786332;61489,88994335707;51206,62183959395;0,0;0,0
00000356;GPAL BIOQUIMICA CLINICA SAS;30716142015;23/01/2026;31/05/2026;547756,46;Aceptado;SI;;ESTRICTO;SI;2026-05;76075,56845721469;241205,63690533466;148865,14404902997;81610,11058842065;0,0;0,0
00000302;ECCO SA;30602764032;23/01/2026;30/04/2026;3321138,9;Pagado;SI;;ESTRICTO;NO;2026-04;3321138,9;0,0;0,0;0,0;0,0;0,0
00000305;INSTITUTO PRIVADO DE RADIOTERAPIA;30606141579;23/01/2026;31/05/2026;1400000,0;Aceptado;SI;;ESTRICTO;SI;2026-05;0,0;717073,1707317074;682926,8292682926;0,0;0,0;0,0
00000333;AMPARAR S.R.L.;30708686499;23/01/2026;31/05/2026;884891,19;Aceptado;SI;;ESTRICTO;SI;2026-05;268045,6817027516;455011,96865086345;113988,71291171618;47844,82673466869;0,0;0,0
00000331;PROMET S.R.L.;30708276878;23/01/2026;31/07/2026;5647705,54;Emitido;SI;;ESTRICTO;SI;2026-07;3190999,348379384;0,0;2127496,3274316406;329209,86418897554;0,0;0,0
00000304;INSTITUTO PRIVADO DE RADIOTERAPIA;30606141579;23/01/2026;30/04/2026;1400000,0;Depósito en proceso;SI;;ESTRICTO;SI;2026-04;0,0;717073,1707317074;682926,8292682926;0,0;0,0;0,0
00000366;CLINICA PRIVADA SANTA MARIA S.A;33711273129;23/01/2026;30/04/2026;500107,44;Pagado;SI;;ESTRICTO;NO;2026-04;460493,80978844635;8999,941549339204;30613,688662214492;0,0;0,0;0,0
00000362;INDUSMED SAS;30717880125;23/01/2026;30/04/2026;4616333,34;Pagado;SI;;ESTRICTO;NO;2026-04;3072000,0;0,0;0,0;0,0;0,0;1544333,3399999999
00000288;PABLO GABRIEL MIGLIERINI;20253634872;23/01/2026;30/06/2026;5496000,0;Aceptado;NO;;FUERA;SI;2026-06;0,0;0,0;0,0;0,0;0,0;5496000,0
00000309;CLINICA PRIVADA DEL SOL SA;30615571454;23/01/2026;30/04/2026;927696,47;Depósito en proceso;SI;;ESTRICTO;SI;2026-04;787941,9060135946;31446,301378410917;108308,26260799443;0,0;0,0;0,0
00000332;AMPARAR S.R.L.;30708686499;23/01/2026;30/04/2026;884891,19;Pagado;SI;;ESTRICTO;NO;2026-04;268045,6817027516;455011,96865086345;113988,71291171618;47844,82673466869;0,0;0,0
00000330;PROMET S.R.L.;30708276878;23/01/2026;30/06/2026;5647705,53;Emitido;SI;;ESTRICTO;SI;2026-06;3190999,342729303;0,0;2127496,3236646308;329209,8636060665;0,0;0,0
00000307;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;30608875227;23/01/2026;30/04/2026;464087,73;Depósito en proceso;SI;;ESTRICTO;SI;2026-04;345348,2644333552;46790,48692256568;7776,373459322373;39951,247701052256;24221,357483704476;0,0
00000358;SOLBO SAS;30716784386;23/01/2026;31/05/2026;401308,82;Aceptado;SI;;ESTRICTO;SI;2026-05;240403,37868342546;144573,0509989033;8485,40783296193;1818,0078637737065;6028,974620935581;0,0
00000325;IMAGENES MEDICAS SRL;30689768861;23/01/2026;30/04/2026;284693,69;Pagado;SI;;ESTRICTO;NO;2026-04;280690,3846540315;762,5749956237926;0,0;3240,730350344753;0,0;0,0
00000347;CE MO SA;30714353493;23/01/2026;30/04/2026;326018,44;Pagado;SI;;ESTRICTO;NO;2026-04;314726,68135539745;4136,006096757006;7002,88534041158;152,86720743394113;0,0;0,0
00000300;CLINICA PRIVADA CARAFFA SRL;30596272165;23/01/2026;30/04/2026;2118245,41;Pagado;SI;;ESTRICTO;NO;2026-04;1991958,0838597233;126287,32614027694;0,0;0,0;0,0;0,0
00000357;SOLBO SAS;30716784386;23/01/2026;30/04/2026;401308,81;Pagado;SI;;ESTRICTO;NO;2026-04;240403,37269294215;144573,0473963647;8485,407621518587;1818,0078184717402;6028,974470702784;0,0
00000334;COSEME SA;30680565224;23/01/2026;30/04/2026;2000264,33;Pagado;SI;;ESTRICTO;NO;2026-04;879988,1839016753;1117085,1606602897;0,0;3190,9854380352476;0,0;0,0
00000286;PABLO GABRIEL MIGLIERINI;20253634872;23/01/2026;30/04/2026;9465625,0;Pagado;NO;;FUERA;NO;2026-04;0,0;0,0;0,0;0,0;0,0;9465625,0
00000287;PABLO GABRIEL MIGLIERINI;20253634872;23/01/2026;31/05/2026;9465625,0;Aceptado;NO;;FUERA;SI;2026-05;0,0;0,0;0,0;0,0;0,0;9465625,0
00000368;CIPREM S.R.L.;30637580961;23/01/2026;31/05/2026;8364319,81;Aceptado;SI;;ESTRICTO;SI;2026-05;7660403,328117999;0,0;703916,4818819996;0,0;0,0;0,0
00000354;CAMARA DE ENTIDADES DE SALUD;30715649159;23/01/2026;30/04/2026;1293468,95;Pagado;SI;;ESTRICTO;NO;2026-04;1197692,410112835;39999,339422796154;54926,158683208276;0,0;851,0417811605193;0,0
00000367;CIPREM S.R.L.;30637580961;23/01/2026;30/04/2026;8364319,8;Pagado;SI;;ESTRICTO;NO;2026-04;7660403,3189595705;0,0;703916,4810404292;0,0;0,0;0,0
00000289;PABLO GABRIEL MIGLIERINI;20253634872;23/01/2026;31/07/2026;8086005,0;Aceptado;NO;;FUERA;SI;2026-07;0,0;0,0;0,0;0,0;0,0;8086005,0
00000335;COSEME SA;30680565224;23/01/2026;31/05/2026;2000264,33;Aceptado;SI;;ESTRICTO;SI;2026-05;879988,1839016753;1117085,1606602897;0,0;3190,9854380352476;0,0;0,0
00000376;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;27/01/2026;31/05/2026;8186741,85;Aceptado;SI;;ESTRICTO;SI;2026-05;5045712,000596729;3137898,7203566805;3131,1290465913125;0,0;0,0;0,0
00000375;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;27/01/2026;30/04/2026;8186741,84;Pagado;SI;;ESTRICTO;NO;2026-04;5045711,994433456;3137898,7165237777;3131,1290427666786;0,0;0,0;0,0
00000381;INSTITUTO CONCI CARPINELLA SRL;30589770842;28/01/2026;30/04/2026;5595228,6;Pagado;SI;;ESTRICTO;NO;2026-04;2368327,2723619663;1298796,254826726;1695086,794457866;233018,2783534406;0,0;0,0
00000379;SANATORIO DEL SALVADOR PRIVADO SA;30689767946;28/01/2026;31/05/2026;4287154,38;Aceptado;SI;;ESTRICTO;SI;2026-05;1711298,9133216266;2117541,011788116;0,0;0,0;458314,4548902572;0,0
00000384;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;28/01/2026;31/05/2026;166619,43;Aceptado;SI;;ESTRICTO;SI;2026-05;102692,09325118596;63863,610916662714;63,72583215134454;0,0;0,0;0,0
00000383;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;28/01/2026;30/04/2026;166619,43;Aceptado;SI;;ESTRICTO;SI;2026-04;102692,09325118596;63863,610916662714;63,72583215134454;0,0;0,0;0,0
00000378;SANATORIO DEL SALVADOR PRIVADO SA;30689767946;28/01/2026;30/04/2026;4287154,38;Pagado;SI;;ESTRICTO;NO;2026-04;1711298,9133216266;2117541,011788116;0,0;0,0;458314,4548902572;0,0
00000393;SERVICIOS MEDICOS SRL;30645189988;23/02/2026;30/04/2026;8885286,82;Pagado;SI;;ESTRICTO;NO;2026-04;8560975,401826117;171972,72485052145;0,0;152338,6933233615;0,0;0,0
00000431;FEDERACION DE BIOQUIMICOS DE LA PCIA DE;33577427009;27/02/2026;30/04/2026;1356730,05;Depósito en proceso;SI;1-8014;OP;SI;2026-04;1356730,05;0,0;0,0;0,0;0,0;0,0
00000411;CLINICA PRIVADA CARAFFA SRL;30596272165;27/02/2026;31/05/2026;3298665,33;Aceptado;SI;1-7997;OP;SI;2026-05;3544873,8076240006;0,0;0,0;0,0;0,0;0,0
00000448;PROMET S.R.L.;30708276878;27/02/2026;31/07/2026;2254046,34;Emitido;SI;1-8030;OP;SI;2026-07;2341024,719240235;0,0;0,0;0,0;0,0;0,0
00000441;INSTITUTO PRIVADO DE RADIOTERAPIA;30606141579;27/02/2026;30/04/2026;1780535,33;Depósito en proceso;SI;1-8022;OP;SI;2026-04;0,0;1780535,3300000003;0,0;0,0;0,0;0,0
00000465;COSEME SA;30680565224;27/02/2026;30/06/2026;1771475,94;Aceptado;SI;1-8045;OP;SI;2026-06;0,0;1771475,94;0,0;0,0;0,0;0,0
00000464;COSEME SA;30680565224;27/02/2026;31/05/2026;1771475,94;Aceptado;SI;1-8045;OP;SI;2026-05;0,0;1771475,94;0,0;0,0;0,0;0,0
00000443;INSTITUTO PRIVADO DE RADIOTERAPIA;30606141579;27/02/2026;30/06/2026;1780535,34;Anulado;SI;1-8022;OP;NO;2026-06;0,0;1780535,34;0,0;0,0;0,0;0,0
00000442;INSTITUTO PRIVADO DE RADIOTERAPIA;30606141579;27/02/2026;31/05/2026;1780535,33;Anulado;SI;1-8022;OP;NO;2026-05;0,0;1780535,3300000003;0,0;0,0;0,0;0,0
00000449;PROMET S.R.L.;30708276878;27/02/2026;31/08/2026;2254046,34;Emitido;SI;1-8030;OP;SI;2026-08;2341024,719240235;0,0;0,0;0,0;0,0;0,0
00000439;INSTITUTO PRIVADO DE NEONATOLOGIA Y PEDI;30659560093;27/02/2026;30/04/2026;1979150,73;Pagado;SI;1-8020;OP;NO;2026-04;1979150,7299999997;0,0;0,0;0,0;0,0;0,0
00000430;ESTIX SAS;30717147835;27/02/2026;30/04/2026;828884,11;Pagado;SI;1-8013;OP;NO;2026-04;0,0;0,0;828884,1100000001;0,0;0,0;0,0
00000425;DE LA VILLA SERVICIOS ASISTENCIALES S.A;30623442566;27/02/2026;30/04/2026;1085332,02;Pagado;SI;;ESTRICTO;NO;2026-04;31544,257535517198;886654,6658220312;91191,7818559451;75941,3147865066;0,0;0,0
00000422;COLEGIO MED REG DEL SUR DE CBA;30553588266;27/02/2026;30/04/2026;168577,11;Anulado;SI;;ESTRICTO;NO;2026-04;0,0;168577,11;0,0;0,0;0,0;0,0
00000423;COLEGIO MED REG DEL SUR DE CBA;30553588266;27/02/2026;31/05/2026;168577,11;Anulado;SI;;ESTRICTO;NO;2026-05;0,0;168577,11;0,0;0,0;0,0;0,0
00000440;IMAGENES MEDICAS SRL;30689768861;27/02/2026;30/04/2026;197509,82;Pagado;SI;1-8021;OP;NO;2026-04;197509,81999999998;0,0;0,0;0,0;0,0;0,0
00000457;SOLBO SAS;30716784386;27/02/2026;31/05/2026;226272,26;Aceptado;SI;1-8040;OP;SI;2026-05;226272,26;0,0;0,0;0,0;0,0;0,0
00000458;SOLBO SAS;30716784386;27/02/2026;30/06/2026;226272,27;Aceptado;SI;1-8040;OP;SI;2026-06;226272,27;0,0;0,0;0,0;0,0;0,0
00000433;FUNDACION FECUNDART;30709242195;27/02/2026;30/04/2026;235794,6;Pagado;SI;1-8016;OP;NO;2026-04;235794,6;0,0;0,0;0,0;0,0;0,0
00000412;CLINICA PRIVADA COAT SRL;30682285431;27/02/2026;30/04/2026;262233,04;Aceptado;SI;1-7998;OP;SI;2026-04;262233,04000000004;0,0;0,0;0,0;0,0;0,0
00000417;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;30608875227;27/02/2026;31/05/2026;378314,21;Emitido;SI;1-8003;OP;SI;2026-05;378314,21;0,0;0,0;0,0;0,0;0,0
00000416;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;30608875227;27/02/2026;30/04/2026;378314,21;Depósito en proceso;SI;1-8003;OP;SI;2026-04;378314,21;0,0;0,0;0,0;0,0;0,0
00000420;CLINICA PRIVADA SANTA MARIA S.A;33711273129;27/02/2026;30/04/2026;404513,95;Pagado;SI;1-8007;OP;NO;2026-04;404513,94999999995;0,0;0,0;0,0;0,0;0,0
00000421;CLINICA PRIVADA SANTA MARIA S.A;33711273129;27/02/2026;31/05/2026;404513,96;Aceptado;SI;1-8007;OP;SI;2026-05;404513,9599999999;0,0;0,0;0,0;0,0;0,0
00000426;DE LA VILLA SERVICIOS ASISTENCIALES S.A;30623442566;27/02/2026;31/05/2026;1085332,03;Aceptado;SI;1-8010;OP;SI;2026-05;0,0;2170664,0500000003;0,0;0,0;0,0;0,0
00000461;UNIVERSIDAD NACIONAL DE CORDOBA;30546670623;27/02/2026;30/04/2026;414753,0;Depósito en proceso;SI;1-8042;OP;SI;2026-04;414753,0;0,0;0,0;0,0;0,0;0,0
00000432;FUNDACION CENTRO PREVENCION Y;30714398454;27/02/2026;30/04/2026;600000,0;Aceptado;SI;1-8015;OP;SI;2026-04;600000,0;0,0;0,0;0,0;0,0;0,0
00000460;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;30711999074;27/02/2026;30/04/2026;608957,7;Pagado;SI;1-8041;OP;NO;2026-04;608957,7;0,0;0,0;0,0;0,0;0,0
00000414;CLINICA PRIVADA DE LA CIUDAD SRL;30660567840;27/02/2026;30/04/2026;699936,08;Pagado;SI;1-8001;OP;NO;2026-04;699936,0800000001;0,0;0,0;0,0;0,0;0,0
00000407;CIDI SA;30715190253;27/02/2026;30/04/2026;748331,4;Pagado;SI;1-7993;OP;NO;2026-04;748331,4;0,0;0,0;0,0;0,0;0,0
00000415;CLINICA PRIVADA DEL SOL SA;30615571454;27/02/2026;30/04/2026;799363,71;Pagado;SI;1-8002;OP;NO;2026-04;799363,71;0,0;0,0;0,0;0,0;0,0
00000435;GPAL BIOQUIMICA CLINICA SAS;30716142015;27/02/2026;30/06/2026;890556,78;Aceptado;SI;1-8017;OP;SI;2026-06;0,0;890556,7800000001;0,0;0,0;0,0;0,0
00000434;GPAL BIOQUIMICA CLINICA SAS;30716142015;27/02/2026;31/05/2026;890556,78;Aceptado;SI;1-8017;OP;SI;2026-05;0,0;890556,7800000001;0,0;0,0;0,0;0,0
00000462;INDUSMED SAS;30717880125;27/02/2026;30/04/2026;900000,0;Pagado;SI;1-8044;OP;NO;2026-04;900000,0;0,0;0,0;0,0;0,0;0,0
00000463;INDUSMED SAS;30717880125;27/02/2026;31/05/2026;900000,0;Aceptado;SI;1-8044;OP;SI;2026-05;900000,0;0,0;0,0;0,0;0,0;0,0
00000402;CE MO SA;30714353493;27/02/2026;30/04/2026;937002,13;Pagado;SI;1-7989;OP;NO;2026-04;937002,13;0,0;0,0;0,0;0,0;0,0
00000403;CE MO SA;30714353493;27/02/2026;31/05/2026;937002,14;Emitido;SI;1-7989;OP;SI;2026-05;937002,1399999999;0,0;0,0;0,0;0,0;0,0
00000436;GRUPO OPTICO S.A.;30709290866;27/02/2026;30/04/2026;467503,92;Aceptado;SI;1-8018;OP;SI;2026-04;467503,92000000004;0,0;0,0;0,0;0,0;0,0
00000427;ECCO SA;30602764032;27/02/2026;30/04/2026;3477713,1;Pagado;SI;1-8011;OP;NO;2026-04;3477713,0999999996;0,0;0,0;0,0;0,0;0,0
00000410;CLINICA PRIVADA DEAN FUNES S.R.L.;30708237791;27/02/2026;30/04/2026;1958959,33;Pagado;SI;1-7996;OP;NO;2026-04;1958959,33;0,0;0,0;0,0;0,0;0,0
00000397;AMPARAR S.R.L.;30708686499;27/02/2026;30/06/2026;3899487,3;Aceptado;SI;1-7984;OP;SI;2026-06;0,0;3927834,586483432;0,0;0,0;0,0;0,0
00000396;AMPARAR S.R.L.;30708686499;27/02/2026;31/05/2026;3899487,3;Aceptado;SI;1-7984;OP;SI;2026-05;0,0;3927834,586483432;0,0;0,0;0,0;0,0
00000445;PABLO GABRIEL MIGLIERINI;20253634872;27/02/2026;30/06/2026;4275500,01;Aceptado;NO;1-8025;OP;SI;2026-06;0,0;0,0;0,0;0,0;0,0;4275500,01
00000444;PABLO GABRIEL MIGLIERINI;20253634872;27/02/2026;31/05/2026;4275500,0;Aceptado;NO;1-8025;OP;SI;2026-05;0,0;0,0;0,0;0,0;0,0;4275500,0
00000428;ECCO SA;30602764032;27/02/2026;31/05/2026;3477713,1;Aceptado;SI;1-8011;OP;SI;2026-05;3477713,0999999996;0,0;0,0;0,0;0,0;0,0
00000400;CAMARA DE ENTIDADES DE SALUD;30715649159;27/02/2026;30/04/2026;5910758,6;Pagado;SI;1-7988;OP;NO;2026-04;5910758,599999999;0,0;0,0;0,0;0,0;0,0
00000454;SANATORIO MORRA SA;30545879138;27/02/2026;30/04/2026;4103665,54;Pagado;SI;1-8037;OP;NO;2026-04;0,0;0,0;0,0;0,0;4103665,54;0,0
00000401;CAMARA DE ENTIDADES DE SALUD;30715649159;27/02/2026;31/05/2026;5910758,61;Aceptado;SI;1-7988;OP;SI;2026-05;5910758,61;0,0;0,0;0,0;0,0;0,0
00000475;SANATORIO DEL SALVADOR PRIVADO SA;30689767946;05/03/2026;31/05/2026;5314721,92;Aceptado;SI;;ESTRICTO;SI;2026-05;2121471,9695497947;2625084,2946899612;0,0;0,0;568165,6557602438;0,0
00000466;ASOCIACION PRESTADORES DE HEMODIALISIS Y;30644610256;05/03/2026;30/04/2026;11573226,0;Pagado;SI;1-8050;OP;NO;2026-04;11573226,0;0,0;0,0;0,0;0,0;0,0
00000476;SANATORIO DEL SALVADOR PRIVADO SA;30689767946;05/03/2026;30/06/2026;4318059,46;Aceptado;SI;;ESTRICTO;SI;2026-06;1723635,2616618788;2132805,8631491703;0,0;0,0;461618,33518895076;0,0
00000467;ASOCIACION PRESTADORES DE HEMODIALISIS Y;30644610256;05/03/2026;31/05/2026;11573226,0;Emitido;SI;1-8050;OP;SI;2026-05;11573226,0;0,0;0,0;0,0;0,0;0,0
00000471;INSTITUTO CONCI CARPINELLA SRL;30589770842;05/03/2026;31/05/2026;4716035,42;Aceptado;SI;;ESTRICTO;SI;2026-05;1996185,6969724207;1094712,9382928493;1428733,2894026092;196403,49533212016;0,0;0,0
00000474;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;05/03/2026;30/06/2026;3169089,83;Aceptado;SI;;ESTRICTO;SI;2026-06;1953196,3849819019;1214681,38417634;1212,0608417584494;0,0;0,0;0,0
00000473;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;05/03/2026;31/05/2026;3169089,83;Aceptado;SI;;ESTRICTO;SI;2026-05;1953196,3849819019;1214681,38417634;1212,0608417584494;0,0;0,0;0,0
00000468;CIPREM S.R.L.;30637580961;05/03/2026;30/04/2026;3228271,19;Pagado;SI;1-8049;OP;NO;2026-04;3228271,1900000004;0,0;0,0;0,0;0,0;0,0
00000469;CIPREM S.R.L.;30637580961;05/03/2026;31/05/2026;3228271,19;Aceptado;SI;1-8049;OP;SI;2026-05;3228271,1900000004;0,0;0,0;0,0;0,0;0,0
00000470;INSTITUTO CONCI CARPINELLA SRL;30589770842;05/03/2026;30/04/2026;4716035,43;Pagado;SI;1-8047;OP;NO;2026-04;4716035,43;0,0;0,0;0,0;0,0;0,0
00000472;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;05/03/2026;30/04/2026;3169089,83;Aceptado;SI;;ESTRICTO;SI;2026-04;1953196,3849819019;1214681,38417634;1212,0608417584494;0,0;0,0;0,0
00000479;TORRE FUERTE SRL;30715535064;06/03/2026;06/04/2026;747984,13;Pagado;NO;;FUERA;NO;2026-04;0,0;0,0;0,0;0,0;0,0;747984,13
00000482;GEPREMED S.A.;30712053441;11/03/2026;10/04/2026;1565130,0;Pagado;NO;;FUERA;NO;2026-04;0,0;0,0;0,0;0,0;0,0;1565130,0
00000486;ERREPAR SA;30582622945;13/03/2026;30/06/2026;80781,04;Aceptado;NO;;FUERA;SI;2026-06;0,0;0,0;0,0;0,0;0,0;80781,04
00000488;ERREPAR SA;30582622945;13/03/2026;31/08/2026;80781,06;Aceptado;NO;;FUERA;SI;2026-08;0,0;0,0;0,0;0,0;0,0;80781,06
00000484;ERREPAR SA;30582622945;13/03/2026;30/04/2026;80781,04;Pagado;NO;;FUERA;NO;2026-04;0,0;0,0;0,0;0,0;0,0;80781,04
00000485;ERREPAR SA;30582622945;13/03/2026;31/05/2026;80781,04;Aceptado;NO;1-8093;OP;SI;2026-05;0,0;0,0;0,0;0,0;0,0;80781,04000000001
00000487;ERREPAR SA;30582622945;13/03/2026;31/07/2026;80781,04;Aceptado;NO;;FUERA;SI;2026-07;0,0;0,0;0,0;0,0;0,0;80781,04
00000490;CLINICA PRIVADA DEL SOL SA;30615571454;25/03/2026;31/05/2026;8037175,55;Aceptado;SI;1-8107;OP;SI;2026-05;7977958,133600347;0,0;59217,41639965308;0,0;0,0;0,0
00000489;CLINICA PRIVADA DEL SOL SA;30615571454;25/03/2026;30/04/2026;8037175,54;Pagado;SI;1-8107;OP;NO;2026-04;7977958,123674027;0,0;59217,4163259737;0,0;0,0;0,0
00000508;DE LA VILLA SERVICIOS ASISTENCIALES S.A;30623442566;27/03/2026;31/05/2026;1117543,33;Aceptado;SI;;ESTRICTO;SI;2026-05;32480,452026670588;912969,4780430323;93898,24098613297;78195,15894416423;0,0;0,0
00000509;DE LA VILLA SERVICIOS ASISTENCIALES S.A;30623442566;27/03/2026;30/06/2026;1117543,34;Aceptado;SI;1-8137;OP;SI;2026-06;18133,12758570904;1030190,5791889208;50977,62589707544;18242,007328294872;0,0;0,0
00000540;SOLBO SAS;30716784386;27/03/2026;30/06/2026;1091640,1;Aceptado;SI;;ESTRICTO;SI;2026-06;653945,1795410638;393267,5585095486;23082,003169816566;4945,3443017043965;16400,014477866647;0,0
00000499;CIDI SA;30715190253;27/03/2026;30/04/2026;1128918,53;Pagado;SI;;ESTRICTO;NO;2026-04;906749,627772509;35498,5833740996;90748,34704650217;95921,97180688921;0,0;0,0
00000518;GPAL BIOQUIMICA CLINICA SAS;30716142015;27/03/2026;31/07/2026;997757,02;Aceptado;SI;;ESTRICTO;SI;2026-07;138574,23512390256;439364,27054802555;271162,9224933849;148655,591834687;0,0;0,0
00000517;GPAL BIOQUIMICA CLINICA SAS;30716142015;27/03/2026;30/06/2026;997757,02;Aceptado;SI;;ESTRICTO;SI;2026-06;138574,23512390256;439364,27054802555;271162,9224933849;148655,591834687;0,0;0,0
00000500;CIDI SA;30715190253;27/03/2026;31/05/2026;1128918,54;Aceptado;SI;;ESTRICTO;SI;2026-05;906749,6358045291;35498,5836885473;90748,34785035421;95921,9726565694;0,0;0,0
00000498;CE MO SA;30714353493;27/03/2026;31/05/2026;990259,58;Emitido;SI;1-8129;OP;SI;2026-05;990259,58;0,0;0,0;0,0;0,0;0,0
00000541;SOLBO SAS;30716784386;27/03/2026;31/07/2026;1091640,11;Aceptado;SI;;ESTRICTO;SI;2026-07;653945,1855315471;393267,5621120872;23082,003381259907;4945,344347006363;16400,01462809944;0,0
00000510;ECCO SA;30602764032;27/03/2026;31/05/2026;3526727,31;Aceptado;SI;;ESTRICTO;SI;2026-05;3526727,31;0,0;0,0;0,0;0,0;0,0
00000543;UNIVERSIDAD NACIONAL DE CORDOBA;30546670623;27/03/2026;31/05/2026;377517,35;Aceptado;SI;;ESTRICTO;SI;2026-05;363453,3450797395;0,0;8382,350213865191;5681,654706395297;0,0;0,0
00000537;SANATORIO DEL SALVADOR PRIVADO SA;30689767946;27/03/2026;31/07/2026;5518831,74;Emitido;SI;;ESTRICTO;SI;2026-07;2202946,2721300237;2725899,631962395;0,0;0,0;589985,8359075816;0,0
