OP_NUMERO;CUIT;PRESTADOR;NRO_DOC;TIPO;REGIMEN;NRO_CERT;MONTO
1-7995;30566278207;CIRCULO MEDICO REGIONAL RIO TERCERO;8521572;GA;Locación de obras y servicios;86;7535,81
1-7996;30708237791;CLINICA PRIVADA DEAN FUNES S.R.L.;8521783;GA;Locación de obras y servicios;87;38607,95
1-7997;30596272165;CLINICA PRIVADA CARAFFA SRL;8521948;GA;Locación de obras y servicios;88;56247,44
1-7998;30682285431;CLINICA PRIVADA COAT S. R. L.;8522004;GA;Locación de obras y servicios;89;3980,88
1-7999;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;8522031;GA;Locación de obras y servicios;90;3566,3
1-8001;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;8522225;GA;Locación de obras y servicios;91;2709,11
1-8002;30615571454;CLINICA PRIVADA DEL SOL S.A.;8522251;GA;Locación de obras y servicios;92;14942,73
1-8003;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8522280;GA;Locación de obras y servicios;93;14070,58
1-8004;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8522336;GA;Locación de obras y servicios;94;4050,85
1-8005;30680944691;CLINICA PRIVADA REGIONAL S R L;8522354;GA;Locación de obras y servicios;95;3488,31
1-8007;33711273129;CLINICA PRIVADA SANTA MARIA S.A.;8522455;GA;Locación de obras y servicios;96;15139,96
1-8010;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8522650;GA;Locación de obras y servicios;97;5176,11
1-8012;30708910208;EL JUNCO SERVICIOS SOCIALES SA;8522733;GA;Locación de obras y servicios;98;4582,01
1-8013;30717147835;ESTIX S.A.S.;8522809;GA;Locación de obras y servicios;99;15545,19
1-8017;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8522916;GA;Locación de obras y servicios;100;34978,44
1-8018;30709290866;GRUPO OPTICO SA;8522978;GA;Locación de obras y servicios;101;8170,08
1-8019;30698852441;IMAGENES S R L PRIVADO;8523003;GA;Locación de obras y servicios;102;2087,73
1-8020;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8523162;GA;Locación de obras y servicios;103;3,96
1-8021;30689768861;;8523219;GA;Locación de obras y servicios;104;2660,0
1-8027;30677558888;PARQUE SALUD S A;8523837;GA;Locación de obras y servicios;105;2998,6
1-8028;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8523855;GA;Locación de obras y servicios;106;396,19
1-8030;30708276878;PROMET S.R.L.;8523905;GA;Locación de obras y servicios;107;90631,08
1-8031;30694300487;RESONANCIA MAGNETICA SRL;8523948;GA;Locación de obras y servicios;108;5521,11
1-8033;30642081183;ROENTGEN S A;8523987;GA;Locación de obras y servicios;109;5349,35
1-8034;30708890223;SALUD INTEGRAL SOCIEDAD ANONIMA;8524004;GA;Locación de obras y servicios;110;10924,04
1-8035;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8524028;GA;Locación de obras y servicios;111;162518,95
1-8037;30545879138;SANATORIO MORRA S A;8524135;GA;Locación de obras y servicios;112;82377,46
1-8039;30715227696;;8524199;GA;Locación de obras y servicios;113;3044,2
1-8040;30716784386;SOLBO S.A.S.;8524297;GA;Locación de obras y servicios;114;7864,79
1-8041;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8524344;GA;Locación de obras y servicios;115;23484,6
1-8045;30680565224;COSEME SA;8524661;GA;Locación de obras y servicios;116;8424,56
1-8049;30637580961;CIPREM SRL;8543831;GA;Locación de obras y servicios;117;130395,35
1-8051;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8544430;GA;Locación de obras y servicios;118;37631,83
1-8061;30712053441;GEPREMED S.A.;8578178;GA;Enajenación de bienes muebles y bienes de cambio;120;27370,0
1-8093;30582622945;ERREPAR S. A.;8591191;GA;Locación de obras y servicios;121;8520,74
1-8107;30615571454;CLINICA PRIVADA DEL SOL S.A.;8634513;GA;Locación de obras y servicios;123;326677,16
1-8128;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8639226;GA;Locación de obras y servicios;125;313735,78
1-8129;30714353493;CEMO S.A.;8639256;GA;Locación de obras y servicios;126;18838,56
1-8130;30715190253;CIDI S.A;8639303;GA;Locación de obras y servicios;127;44707,49
1-8134;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8639964;GA;Locación de obras y servicios;128;84054,26
1-8135;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8640051;GA;Locación de obras y servicios;129;5991,62
1-8137;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8640290;GA;Locación de obras y servicios;130;44243,2
1-8144;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8640890;GA;Locación de obras y servicios;131;39353,96
1-8146;30689768861;;8640980;GA;Locación de obras y servicios;132;9819,99
1-8147;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8641025;GA;Locación de obras y servicios;133;198789,19
1-8148;30716824809;NEUROTEAM S.A.S.;8641078;GA;Locación de obras y servicios;134;94967,86
1-8149;30716361833;OMED MEDICINA PRIVADA SOCIEDAD DE;8641807;GA;Locación de obras y servicios;135;4140,04
1-8152;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8641827;GA;Locación de obras y servicios;136;28185,89
1-8153;30694300487;RESONANCIA MAGNETICA SRL;8641837;GA;Locación de obras y servicios;137;11170,6
1-8154;30642081183;ROENTGEN S A;8641877;GA;Locación de obras y servicios;138;8411,92
1-8155;30708890223;SALUD INTEGRAL SOCIEDAD ANONIMA;8641887;GA;Locación de obras y servicios;139;2345,06
1-8156;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8641905;GA;Locación de obras y servicios;140;93652,77
1-8157;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8641920;GA;Locación de obras y servicios;141;223887,63
1-8158;33680935349;SANATORIO PRIVADO GATTI S R L;8641923;GA;Locación de obras y servicios;142;6330,34
1-8159;30715227696;;8641924;GA;Locación de obras y servicios;143;4605,6
1-8160;30716784386;SOLBO S.A.S.;8641928;GA;Locación de obras y servicios;144;43185,93
1-8161;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8641939;GA;Locación de obras y servicios;145;16028,6
1-8173;30708069791;CLINICA MEDITERRANEA SALUD S A;8641966;GA;Locación de obras y servicios;149;1070,84
1-8184;30680565224;COSEME SA;8642462;GA;Locación de obras y servicios;151;10509,49
1-8227;30637580961;CIPREM SRL;8646582;GA;Locación de obras y servicios;152;422989,84
1-8235;33680935349;SANATORIO PRIVADO GATTI S R L;8672099;GA;Locación de obras y servicios;153;12786,68
1-8246;30645189988;SERVICIOS MEDICOS S R L;8689817;GA;Locación de obras y servicios;154;523307,7
1-8316;30712198709;GESTSAL S.R.L.;8766499;GA;Enajenación de bienes muebles y bienes de cambio;183;76720,0
1-8346;30689768861;;8780105;GA;Locación de obras y servicios;184;5108,38
1-8347;30637580961;CIPREM SRL;8780157;GA;Locación de obras y servicios;185;311026,94
1-8363;30680565224;COSEME SA;8792127;GA;Locación de obras y servicios;188;4512,79
